author,content,timestamp,uri
framamia.bsky.social,"> Le coût environnemental de l'IA | articles et analyses par Basta!

https://basta.media/le-cout-environnemental-de-l-ia

Retrouvez toute notre veille sur l’IA sur https://curation.framamia.org
#Framasoft",2025-04-10T10:15:06.780Z,at://did:plc:rvnzhnk55dp2g4j6mpqc2vof/app.bsky.feed.post/3lmhbi2ilxm2a
gromnax.itch.io,"J'aurais fait la même avec Ghibli si je savais parler Japonais.
Des deux, c'est bien les IA bros qui sont à combattre le plus. Plus vite on pourra balancer les IA génératives d'images/vidéo sous le bus mieux ce sera pour tout le monde avant que ça dégénère (voir lien).

x.com/TheFigen_/st...",2025-04-10T10:13:05.986Z,at://did:plc:ktoj225x3mpw7irdnwwanezu/app.bsky.feed.post/3lmhbeiv3ls26
inno3.bsky.social,"3. Une analyse critique des licences Open Source, des licences permissives et de licences alternatives dans le contexte de l'entrainement de données pour des modèles IA.",2025-04-10T10:10:23.662Z,at://did:plc:kbmlitawukocsh2fr6jwbjul/app.bsky.feed.post/3lmhb7lqhlc23
inno3.bsky.social,"En ce début d'année, Ramya a publié un rapport apportant quelques conclusions éclairantes sur les controverses actuelles concernant l'utilisation de données du web pour entrainer des modèles IA et la place de l'ouverture dans ces débats.

🔗 Accès au rapport : hal.science/hal-05009616",2025-04-10T10:10:23.603Z,at://did:plc:kbmlitawukocsh2fr6jwbjul/app.bsky.feed.post/3lmhb7kzk6k23
inno3.bsky.social,"[Publication]

En 2024, inno³ et l'Open Knowledge Foundation ont accompagné la juriste et chercheuse @ramyachandra.bsky.social (CIS-CNRS) dans le cadre de son projet de recherche dédié à la valorisation et la réutilisation de données pour la création de modèles d'intelligence artificielle (IA).",2025-04-10T10:10:23.583Z,at://did:plc:kbmlitawukocsh2fr6jwbjul/app.bsky.feed.post/3lmhb7klixk23
poyo.studiocartonc.fr,"J'veux dire, PERSONNE ne comparera les ""talents"" en IA. Même le plus delulu des techbros s'en rend compte. Du coup vois pas bien la fascination dont tu parles. Les gens pensent vraiment que c'est créatif et que c'est de la magie pour que ça les fascine à ce point ?",2025-04-10T10:09:28.684Z,at://did:plc:2zjkpxsy7pmpxd35ezzfxn3x/app.bsky.feed.post/3lmhb633u2k26
d-gri.bsky.social,"En même temps qu'il boulverse le commerce mondial Trump autorise la poursuite de vieille centrale à charbon. La raison : explosion de la demande des data center et de l' IA

Trump signs orders to allow coal-fired power plants to remain open www.theguardian.com/us-news/2025...",2025-04-10T10:07:49.776Z,at://did:plc:tjejkprwqgq5vljubs2dxxlw/app.bsky.feed.post/3lmhb2x7hus2t
burnlan.bsky.social,Visuel en IA de merde putain,2025-04-10T10:04:42.278Z,at://did:plc:a2gtvqmxa5lrk5n3kpn4ebw3/app.bsky.feed.post/3lmhavi7xck2k
guglielminetti.bsky.social,"🎧Édition du 10 avril 2025 :
Écoutez : bit.ly/120secstech1...
- Les US dominent l’usage de l’IA, la Chine bondit
- X lance un portail NBA interactif
- YouTube traque les imitations par IA
- Claude Max : forfait pro à 200 $/mois
- Ballie, le robot IA de Samsung, arrive cet été",2025-04-10T10:03:22.577Z,at://did:plc:ltx2uimpnkqjmjf6i72jlw57/app.bsky.feed.post/3lmhat4ydec2s
mad-dog.lachroniquefacile.fr,"En vrai, j'ai vu passer plus ""d'anti-starter pack"" (la même idée mais sans IA) que de vrais (et souvent c'était pour insulter ceux qui le faisait.)

La palme vient de ce gars sur Linkedin qui s'est photoshoppé derrière une vitre.",2025-04-10T10:01:43.878Z,at://did:plc:dv6pk3znss6y4o4imyscvek7/app.bsky.feed.post/3lmhaptjj7s2c
madmonkeyxxi.bsky.social,"Enfin bref excusé le ton agressif.
Ces juste que l'argument du ""ils annoncent la couleur"" je le vois passer 1° degré pour défendre les IA gen.
Donc j'ai un peu surréagit.",2025-04-10T09:58:20.583Z,at://did:plc:tnkil5umhz5k3qd5qgnkszg2/app.bsky.feed.post/3lmhak3zykc2x
imprecator.bsky.social,"Nouvelles du front (IA)

J'ai été amené à traduire au français des documents juridiques officiels en espagnol. Le plus impressionnant : ChatGPT, suivi de DeepSeek (je leur ai donné des scans au format jpg à bouffer. Elles les ont passés à à l'OCR et traduit d'enfer (mieux présentés par ChatGPT que ⤵️",2025-04-10T10:01:24.578Z,at://did:plc:wvpmcnh3bswa4lecocox54up/app.bsky.feed.post/3lmhak27z3c23
madmonkeyxxi.bsky.social,"Oui je sais. J'avais partagé votre tribune à l'époque. 
Ce qui m'avait valu d'être emmerdé par un pseudo militant de gôche pro IA qui me sortait qu'en étant contre l'IA j'étais un artiste privilégié pro capitaliste comme Florent Pagny... 
Ah ! Google et Musk ces anarcho-communistes bien connu...

>",2025-04-10T09:56:42.585Z,at://did:plc:tnkil5umhz5k3qd5qgnkszg2/app.bsky.feed.post/3lmhah6r7u22x
captainjim87.bsky.social,"Mourir. Brain rot absolu, raccourcis partout, mort de la pensée et de la démarche critique, effacement de l'esprit.",2025-04-10T09:50:53.101Z,at://did:plc:2av3hldybsoyp7ieqr7zjo6d/app.bsky.feed.post/3lmha4p4ye22s
captainjim87.bsky.social,"Another day, another article sur L'IA dans l'enseignement qui me donne envie de mourir",2025-04-10T09:50:53.082Z,at://did:plc:2av3hldybsoyp7ieqr7zjo6d/app.bsky.feed.post/3lmha4lihtk2s
tom1312.bsky.social,Exactement ce que dirait une IA (non elles sont trop connes),2025-04-10T09:50:42.377Z,at://did:plc:cqxrnnq24zagkvmgkxof7nhp/app.bsky.feed.post/3lmha4iway22j
